ID,Direccion,Localidad,Coordenadas,
46214,avenida buena vista 756 urbanización mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097166,-76.980855)",
46215,avenida buena vista 746 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097281,-76.980838)",
46216,avenida buena vista 766 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097051,-76.98087)",
46217,avenida buena vista 776 urbanización mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.096936,-76.980887)",
46218,avenida buena vista 784 urbanización mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.09682,-76.980904)",
46219,avenida buena vista 786 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.096807,-76.980905)",
46220,avenida b 102 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096346,-76.980957)",
46221,avenida san borja norte 1791 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096352,-76.981044)",
46222,avenida buena vista 796 urbanización mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.09669,-76.980922)",
46223,calle 20 112 urbanizacion mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.097238,-76.981267)",
46224,calle cesar morelli 308 urbanización san borja manzana d1 ,SAN BORJA-LIMA-LIMA,"(-12.091307,-77.003968)",
46225,avenida buena vista 707 urbanizacion mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.097092,-76.981212)",
46226,calle 20 136 urbanización mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.097263,-76.981449)",
46227,calle 20 142 urbanización mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.097275,-76.981541)",
46228,calle 20 120 urbanizacion mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.097251,-76.981358)",
46229,avenida buena vista 520 urbanizacion mariscal ramon castilla manzana a ,SAN BORJA-LIMA-LIMA,"(-12.100559,-76.980344)",
46230,avenida buena vista 526 urbanización mariscal ramon castilla manzana a ,SAN BORJA-LIMA-LIMA,"(-12.100444,-76.980361)",
46231,avenida buena vista 530 urbanización mariscal ramon castilla manzana a ,SAN BORJA-LIMA-LIMA,"(-12.100432,-76.980362)",
46232,avenida buena vista 536 urbanización mariscal ramon castilla manzana a ,SAN BORJA-LIMA-LIMA,"(-12.10033,-76.980376)",
46233,avenida buena vista 540 urbanizacion mariscal ramon castilla manzana a ,SAN BORJA-LIMA-LIMA,"(-12.100319,-76.980378)",
46234,avenida buena vista 550 urbanizacion mariscal ramon castilla manzana a ,SAN BORJA-LIMA-LIMA,"(-12.100201,-76.980394)",
46235,avenida buena vista 558 urbanizacion mariscal ramon castilla manzana a ,SAN BORJA-LIMA-LIMA,"(-12.100082,-76.980411)",
46236,avenida buena vista 574 urbanizacion mariscal ramon castilla manzana a ,SAN BORJA-LIMA-LIMA,"(-12.099967,-76.980426)",
46237,avenida buena vista 510 urbanización mariscal ramon castilla manzana a ,SAN BORJA-LIMA-LIMA,"(-12.100671,-76.980329)",
46238,avenida buena vista 580 urbanizacion mariscal ramon castilla manzana a ,SAN BORJA-LIMA-LIMA,"(-12.099845,-76.980443)",
46239,avenida buena vista 600 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.099481,-76.980482)",
46240,avenida buena vista 610 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.099374,-76.980497)",
46241,avenida buena vista 620 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.099257,-76.980522)",
46242,avenida buena vista 624 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.09914,-76.98054)",
46243,avenida san borja norte 1777 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096366,-76.981288)",
46244,avenida b 118 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096398,-76.981305)",
46245,avenida b 124 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096407,-76.981398)",
46246,avenida san borja norte 1763 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096359217880917,-76.9814015014626)",
46247,avenida b 140 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096441,-76.981646)",
46248,avenida b 148 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096458,-76.981746)",
46249,avenida san borja norte 1743 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096462765264192,-76.98172565932857)",
46250,avenida b 156 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096467,-76.981858)",
46251,avenida b 162 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096484,-76.981968)",
46252,avenida b 141 urbanización mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.09674,-76.981714)",
46253,avenida b 135 urbanizacion mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.096727,-76.981615)",
46254,avenida b 133 urbanizacion mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.096725,-76.981601)",
46255,calle 20 162 urbanización mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.097298,-76.981719)",
46256,calle 20 166 urbanización mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.0973,-76.981731)",
46257,calle 20 172 urbanización mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.097311,-76.981814)",
46258,calle 20 186 urbanización mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.097322,-76.981902)",
46259,calle 20 152 urbanización mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.097287,-76.981633)",
46260,calle 20 156 urbanización mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.097289,-76.981646)",
46261,avenida san borja norte 1716 urbanizacion mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.096803,-76.982174)",
46262,avenida b 167 urbanizacion mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.096771,-76.98195)",
46263,avenida b 163 urbanización mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.096769,-76.981936)",
46264,avenida b 145 urbanizacion mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.096741,-76.981727)",
46265,calle 24 245 urbanización mariscal ramon castilla manzana ll5 ,SAN BORJA-LIMA-LIMA,"(-12.094814,-76.982556)",
46266,calle 24 253 urbanización mariscal ramon castilla manzana ll5 ,SAN BORJA-LIMA-LIMA,"(-12.094487,-76.982838)",
46267,calle 24 265 urbanizacion mariscal ramon castilla manzana ll5 lote 4,SAN BORJA-LIMA-LIMA,"(-12.094505,-76.982828)",
46268,calle cesar morelli 320 urbanización san borja manzana d1 ,SAN BORJA-LIMA-LIMA,"(-12.091433,-77.00395)",
46269,calle 25 0 urbanización mariscal ramon castilla manzana ll5 lote 11,SAN BORJA-LIMA-LIMA,"(-12.095037,-76.983008)",
46270,calle pedro zevallos 125 urbanización mariscal ramon castilla manzana ll5 ,SAN BORJA-LIMA-LIMA,"(-12.094265,-76.983561)",
46271,calle pedro zevallos 143 urbanización mariscal ramon castilla manzana ll5 ,SAN BORJA-LIMA-LIMA,"(-12.094174,-76.983482)",
46272,calle 27 299 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096058,-76.983333)",
46273,calle hermano lobo 195 urbanización chacarilla del estanque manzana q2 ,SAN BORJA-LIMA-LIMA,"(-12.106329,-76.982441)",
46274,alameda los picaflores 116 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105956,-76.982618)",
46275,alameda los picaflores 126 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105685,-76.982637)",
46276,alameda los picaflores 136 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105673,-76.982638)",
46277,alameda los picaflores 138 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105662,-76.982638)",
46278,calle el dorado 195 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105495,-76.982405)",
46279,calle el dorado 191 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105484,-76.982273)",
46280,calle el dorado 189 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105483,-76.982261)",
46281,calle el dorado 183 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105473,-76.982136)",
46282,calle el dorado 169 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105461,-76.981995)",
46283,alameda los picaflores 230 urbanización chacarilla del estanque manzana f2 ,SAN BORJA-LIMA-LIMA,"(-12.104158,-76.982747)",
46284,alameda los picaflores 240 urbanización chacarilla del estanque manzana f2 ,SAN BORJA-LIMA-LIMA,"(-12.104149,-76.982747)",
46285,alameda los picaflores 260 urbanización chacarilla del estanque manzana f2 ,SAN BORJA-LIMA-LIMA,"(-12.10395,-76.982764)",
46286,alameda los picaflores 280 urbanización chacarilla del estanque manzana f2 ,SAN BORJA-LIMA-LIMA,"(-12.103733,-76.982781)",
46287,avenida juan bielovucic cavalier 287 urbanización chacarilla del estanque manzana f2 ,SAN BORJA-LIMA-LIMA,"(-12.103634,-76.982678)",
46288,avenida juan bielovucic cavalier 275 urbanización chacarilla del estanque manzana f2 ,SAN BORJA-LIMA-LIMA,"(-12.103618,-76.982459)",
46289,calle los recuerdos 240 urbanización chacarilla del estanque manzana u2 ,SAN BORJA-LIMA-LIMA,"(-12.10942,-76.981403)",
46290,calle los recuerdos 270 urbanización chacarilla del estanque manzana u2 ,SAN BORJA-LIMA-LIMA,"(-12.109246,-76.981145)",
46291,calle los recuerdos 260 urbanizacion chacarilla del estanque manzana u2 ,SAN BORJA-LIMA-LIMA,"(-12.109354,-76.981278)",
46292,calle los recuerdos 234 urbanización chacarilla del estanque manzana u2 ,SAN BORJA-LIMA-LIMA,"(-12.109461,-76.981545)",
46293,calle mayorazgo 149 urbanización chacarilla del estanque manzana l2 ,SAN BORJA-LIMA-LIMA,"(-12.10876,-76.981466)",
46294,calle mayorazgo 159 urbanización chacarilla del estanque manzana l2 ,SAN BORJA-LIMA-LIMA,"(-12.108717,-76.981688)",
46295,calle mayorazgo 129 urbanización chacarilla del estanque manzana l2 ,SAN BORJA-LIMA-LIMA,"(-12.108875,-76.981256)",
46296,calle mayorazgo 153 urbanización chacarilla del estanque manzana l2 ,SAN BORJA-LIMA-LIMA,"(-12.108756,-76.981477)",
46297,calle mayorazgo 146 urbanización chacarilla del estanque manzana q2 ,SAN BORJA-LIMA-LIMA,"(-12.108468,-76.981756)",
46298,calle los recuerdos 206 urbanización chacarilla del estanque manzana u2 ,SAN BORJA-LIMA-LIMA,"(-12.109519,-76.981847)",
46299,calle los recuerdos 255 urbanización chacarilla del estanque manzana l2 ,SAN BORJA-LIMA-LIMA,"(-12.10928,-76.981574)",
46300,calle los recuerdos 222 urbanización chacarilla del estanque manzana u2 ,SAN BORJA-LIMA-LIMA,"(-12.109499,-76.981695)",
46301,calle hermano lobo 157 urbanización chacarilla del estanque manzana q2 ,SAN BORJA-LIMA-LIMA,"(-12.106275,-76.981821)",
46302,calle hermano lobo 125 urbanización chacarilla del estanque manzana q2 ,SAN BORJA-LIMA-LIMA,"(-12.10623,-76.981287)",
46303,calle hermano lobo 133 urbanización chacarilla del estanque manzana q2 ,SAN BORJA-LIMA-LIMA,"(-12.106241,-76.98142)",
46304,calle alfredo galeon francol 101 urbanización chacarilla del estanque manzana m2 ,SAN BORJA-LIMA-LIMA,"(-12.104798,-76.9838)",
46305,calle alfredo galeon francol 130 urbanización chacarilla del estanque manzana d2 ,SAN BORJA-LIMA-LIMA,"(-12.105207,-76.983934)",
46306,calle mayorazgo 171 urbanización chacarilla del estanque manzana l2 ,SAN BORJA-LIMA-LIMA,"(-12.108689,-76.981801)",
46307,calle mayorazgo 183 urbanización chacarilla del estanque manzana l2 ,SAN BORJA-LIMA-LIMA,"(-12.108691,-76.982029)",
46308,calle bello horizonte 171 urbanización chacarilla del estanque manzana p2 ,SAN BORJA-LIMA-LIMA,"(-12.107153,-76.981827)",
46309,calle bello horizonte 179 urbanización chacarilla del estanque manzana p2 ,SAN BORJA-LIMA-LIMA,"(-12.107169,-76.981997)",
46310,calle cesar morelli 280 urbanización san borja manzana b2 ,SAN BORJA-LIMA-LIMA,"(-12.090704,-77.004113)",
46311,calle bello horizonte 181 urbanización chacarilla del estanque manzana p2 ,SAN BORJA-LIMA-LIMA,"(-12.10717,-76.98201)",
46312,calle bello horizonte 187 urbanización chacarilla del estanque manzana p2 ,SAN BORJA-LIMA-LIMA,"(-12.107188,-76.982204)",
46313,calle mayorazgo 191 urbanización chacarilla del estanque manzana l2 ,SAN BORJA-LIMA-LIMA,"(-12.108698,-76.982172)",
46314,calle mayorazgo 207 urbanización chacarilla del estanque manzana k2 ,SAN BORJA-LIMA-LIMA,"(-12.108703,-76.982478)",
46315,calle mayorazgo 193 urbanización chacarilla del estanque manzana l2 ,SAN BORJA-LIMA-LIMA,"(-12.108699,-76.982184)",
46316,calle vicente morales duarez 187 urbanización chacarilla del estanque manzana b ,SAN BORJA-LIMA-LIMA,"(-12.109533,-76.979278)",
46317,avenida buena vista 400 condominio buena vista  ,SAN BORJA-LIMA-LIMA,"(-12.101817,-76.980174)",
46318,avenida buena vista 384 urbanización chacarilla del estanque manzana h2 ,SAN BORJA-LIMA-LIMA,"(-12.103873,-76.979969)",
46319,avenida buena vista 394 urbanizacion chacarilla del estanque manzana h2 ,SAN BORJA-LIMA-LIMA,"(-12.103629,-76.980004)",
46320,avenida juan bielovucic cavalier 113 urbanización chacarilla del estanque manzana h2 ,SAN BORJA-LIMA-LIMA,"(-12.103458,-76.979838)",
46321,avenida buena vista 356 urbanización chacarilla del estanque manzana h2 ,SAN BORJA-LIMA-LIMA,"(-12.104253,-76.979926)",
46322,avenida buena vista 364 urbanización chacarilla del estanque manzana h2 ,SAN BORJA-LIMA-LIMA,"(-12.104126,-76.979935)",
46323,avenida buena vista 362 urbanización chacarilla del estanque manzana h2 ,SAN BORJA-LIMA-LIMA,"(-12.104144,-76.979935)",
46324,calle pacaritambo 105 urbanización chacarilla del estanque manzana r2 ,SAN BORJA-LIMA-LIMA,"(-12.104442,-76.980351)",
46325,avenida buena vista 338 urbanización chacarilla del estanque manzana h2 ,SAN BORJA-LIMA-LIMA,"(-12.10466,-76.979865)",
46326,avenida buena vista 344 urbanización chacarilla del estanque manzana h2 ,SAN BORJA-LIMA-LIMA,"(-12.104543,-76.979883)",
46327,avenida buena vista 350 urbanización chacarilla del estanque manzana h2 ,SAN BORJA-LIMA-LIMA,"(-12.104416,-76.979891)",
46328,avenida buena vista 352 urbanización chacarilla del estanque manzana h2 ,SAN BORJA-LIMA-LIMA,"(-12.104407,-76.9799)",
46329,avenida buena vista 339 urbanización chacarilla del estanque manzana r2 ,SAN BORJA-LIMA-LIMA,"(-12.105167,-76.980127)",
46330,avenida buena vista 373 urbanización chacarilla del estanque manzana r2 ,SAN BORJA-LIMA-LIMA,"(-12.104633,-76.980197)",
46331,avenida buena vista 371 urbanización chacarilla del estanque manzana r2 ,SAN BORJA-LIMA-LIMA,"(-12.104642,-76.980197)",
46332,avenida buena vista 365 urbanización chacarilla del estanque manzana r2 ,SAN BORJA-LIMA-LIMA,"(-12.104769,-76.980179)",
46333,avenida buena vista 357 urbanización chacarilla del estanque manzana r2 ,SAN BORJA-LIMA-LIMA,"(-12.104905,-76.980162)",
46334,avenida buena vista 351 urbanización chacarilla del estanque manzana r2 ,SAN BORJA-LIMA-LIMA,"(-12.10504,-76.980145)",
46335,pasaje san lucas 104 urbanización chacarilla del estanque manzana s2 ,SAN BORJA-LIMA-LIMA,"(-12.105758,-76.980542)",
46336,pasaje san lucas 112 urbanización chacarilla del estanque manzana s2 ,SAN BORJA-LIMA-LIMA,"(-12.105714,-76.980194)",
46337,avenida buena vista 395 urbanización chacarilla del estanque manzana g2 ,SAN BORJA-LIMA-LIMA,"(-12.103552,-76.980323)",
46338,avenida buena vista 393 urbanización chacarilla del estanque manzana g2 ,SAN BORJA-LIMA-LIMA,"(-12.103742,-76.980297)",
46339,avenida buena vista 391 urbanización chacarilla del estanque manzana g2 ,SAN BORJA-LIMA-LIMA,"(-12.103894,-76.980273)",
46340,avenida buena vista 381 urbanización chacarilla del estanque manzana g2 ,SAN BORJA-LIMA-LIMA,"(-12.104067,-76.980253)",
46341,avenida juan bielovucic cavalier 115 urbanización chacarilla del estanque manzana g2 ,SAN BORJA-LIMA-LIMA,"(-12.103478,-76.980478)",
46342,calle bello horizonte 113 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.106995,-76.98036)",
46343,calle los recuerdos 390 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.107071,-76.980502)",
46344,calle los recuerdos 386 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.107225,-76.980485)",
46345,calle los recuerdos 380 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.107359,-76.980477)",
46346,calle los recuerdos 370 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.107505,-76.980487)",
46347,calle los recuerdos 309 urbanización chacarilla del estanque manzana s2 ,SAN BORJA-LIMA-LIMA,"(-12.106672,-76.980568)",
46348,calle los recuerdos 287 urbanización chacarilla del estanque manzana s2 ,SAN BORJA-LIMA-LIMA,"(-12.106257,-76.980629)",
46349,calle los recuerdos 301 urbanización chacarilla del estanque manzana s2 ,SAN BORJA-LIMA-LIMA,"(-12.106534,-76.980595)",
46350,calle los recuerdos 295 urbanización chacarilla del estanque manzana s2 ,SAN BORJA-LIMA-LIMA,"(-12.106407,-76.980612)",
46351,calle los recuerdos 289 urbanización chacarilla del estanque manzana s2 ,SAN BORJA-LIMA-LIMA,"(-12.106272,-76.980629)",
46352,avenida buena vista 180 urbanización chacarilla del estanque manzana b ,SAN BORJA-LIMA-LIMA,"(-12.109062,-76.979838)",
46353,avenida buena vista 132 urbanización chacarilla del estanque manzana b ,SAN BORJA-LIMA-LIMA,"(-12.109376,-76.979964)",
46354,avenida buena vista 112 urbanización chacarilla del estanque manzana b ,SAN BORJA-LIMA-LIMA,"(-12.109689,-76.980121)",
46355,avenida buena vista 106 urbanización chacarilla del estanque manzana b ,SAN BORJA-LIMA-LIMA,"(-12.109846,-76.98021)",
46356,avenida buena vista 140 urbanización chacarilla del estanque manzana b ,SAN BORJA-LIMA-LIMA,"(-12.109217,-76.979896)",
46357,avenida buena vista 120 urbanizacion chacarilla del estanque manzana b ,SAN BORJA-LIMA-LIMA,"(-12.109531,-76.980037)",
46358,calle los recuerdos 340 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.108071,-76.980581)",
46359,calle los recuerdos 334 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.108202,-76.98061)",
46360,calle los recuerdos 358 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.107711,-76.980501)",
46361,calle los recuerdos 362 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.107704,-76.980507)",
46362,calle los recuerdos 302 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.108823,-76.980862)",
46363,calle mayorazgo 105 urbanización chacarilla del estanque manzana u2 ,SAN BORJA-LIMA-LIMA,"(-12.109292,-76.980386)",
46364,calle mayorazgo 121 urbanización chacarilla del estanque manzana u2 ,SAN BORJA-LIMA-LIMA,"(-12.1091,-76.98077)",
46365,calle los recuerdos 324 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.10844,-76.980695)",
46366,calle los recuerdos 312 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.108688,-76.980796)",
46367,calle los recuerdos 308 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.1087,-76.980802)",
46368,calle los recuerdos 316 urbanización chacarilla del estanque manzana t2 ,SAN BORJA-LIMA-LIMA,"(-12.108578,-76.980746)",
46369,calle los recuerdos 343 urbanización chacarilla del estanque manzana p2 ,SAN BORJA-LIMA-LIMA,"(-12.107629,-76.980684)",
46370,calle los recuerdos 280 urbanización chacarilla del estanque manzana u2 ,SAN BORJA-LIMA-LIMA,"(-12.109162,-76.981054)",
46371,calle los recuerdos 298 urbanización chacarilla del estanque manzana u2 ,SAN BORJA-LIMA-LIMA,"(-12.109048,-76.980963)",
46372,calle bello horizonte 129 urbanización chacarilla del estanque manzana p2 ,SAN BORJA-LIMA-LIMA,"(-12.107084,-76.981081)",
46373,calle bello horizonte 135 urbanización chacarilla del estanque manzana p2 ,SAN BORJA-LIMA-LIMA,"(-12.107085,-76.981095)",
46374,calle bello horizonte 155 urbanización chacarilla del estanque manzana p2 ,SAN BORJA-LIMA-LIMA,"(-12.10712,-76.981466)",
46375,calle bello horizonte 161 urbanización chacarilla del estanque manzana p2 ,SAN BORJA-LIMA-LIMA,"(-12.107129,-76.981627)",
46376,calle el dorado 109 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105393,-76.981147)",
46377,calle el dorado 161 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.10545,-76.981851)",
46378,calle el dorado 163 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105451,-76.981862)",
46379,calle el dorado 153 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105439,-76.981721)",
46380,calle el dorado 149 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105438,-76.981708)",
46381,calle el dorado 145 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105428,-76.981585)",
46382,calle el dorado 135 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105417,-76.981448)",
46383,calle el dorado 129 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105416,-76.981434)",
46384,calle el dorado 123 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105406,-76.981311)",
46385,calle el dorado 119 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105405,-76.981297)",
46386,calle el dorado 113 urbanización chacarilla del estanque manzana 2 ,SAN BORJA-LIMA-LIMA,"(-12.105394,-76.981161)",
